EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	15:49:07	0	0.1000	0.6262768354952335	0.5499045848846436	0.7266	0.7266	0.7266
2	16:09:41	0	0.1000	0.5823872073888778	0.5265305042266846	0.7409	0.7409	0.7409
3	16:33:04	0	0.1000	0.5685568423330783	0.5178809762001038	0.7448	0.7448	0.7448
4	17:49:08	0	0.1000	0.5591698117792606	0.5046098232269287	0.7527	0.7527	0.7527
5	18:08:05	0	0.1000	0.5510672243237495	0.4964134395122528	0.7581	0.7581	0.7581
6	18:24:24	0	0.1000	0.5471562961041927	0.49370747804641724	0.7591	0.7591	0.7591
7	18:40:39	0	0.1000	0.5401257211267948	0.48561176657676697	0.7692	0.7692	0.7692
8	18:56:50	1	0.1000	0.5378082399129868	0.4975057542324066	0.7607	0.7607	0.7607
9	19:13:16	0	0.1000	0.5341873123556375	0.47085386514663696	0.7751	0.7751	0.7751
10	19:33:27	1	0.1000	0.5305983853459358	0.4763081967830658	0.773	0.773	0.773
11	19:54:00	0	0.1000	0.5281305697679519	0.4737057089805603	0.777	0.777	0.777
12	20:12:32	0	0.1000	0.5256288422375918	0.466677725315094	0.7788	0.7788	0.7788
13	20:31:18	1	0.1000	0.5227320364534855	0.4716951549053192	0.7761	0.7761	0.7761
14	20:50:56	2	0.1000	0.521134237754345	0.47066450119018555	0.7742	0.7742	0.7742
15	21:15:06	0	0.1000	0.5181407861113548	0.4647756814956665	0.7794	0.7794	0.7794
